Retweet Count	:	Number of Tweets
	1	:	119505
	2	:	14433
	3	:	3452
	4	:	1322
	5	:	675
	6	:	373
	7	:	279
	8	:	193
	9	:	145
	10	:	139
	11	:	98
	12	:	74
	13	:	56
	14	:	66
	15	:	51
	16	:	43
	17	:	31
	18	:	38
	19	:	29
	20	:	27
	21	:	23
	22	:	23
	23	:	19
	24	:	14
	25	:	15
	26	:	17
	27	:	15
	28	:	17
	29	:	14
	30	:	13
	31	:	24
	32	:	15
	33	:	10
	34	:	9
	35	:	9
	36	:	16
	37	:	2
	38	:	11
	39	:	10
	40	:	5
	41	:	9
	42	:	4
	43	:	8
	44	:	4
	45	:	4
	46	:	3
	47	:	2
	48	:	6
	49	:	3
	50	:	3
	51	:	3
	52	:	4
	53	:	5
	54	:	4
	55	:	3
	56	:	2
	57	:	5
	58	:	3
	59	:	3
	60	:	4
	61	:	1
	62	:	6
	63	:	2
	64	:	1
	65	:	2
	66	:	1
	67	:	3
	68	:	3
	69	:	2
	70	:	1
	71	:	2
	72	:	2
	74	:	2
	75	:	1
	76	:	2
	77	:	3
	78	:	2
	79	:	4
	80	:	1
	81	:	1
	82	:	3
	83	:	1
	84	:	4
	85	:	2
	86	:	3
	88	:	2
	89	:	3
	90	:	2
	93	:	2
	94	:	1
	95	:	2
	96	:	1
	97	:	1
	104	:	2
	105	:	1
	107	:	4
	109	:	2
	110	:	1
	111	:	1
	113	:	1
	114	:	1
	116	:	1
	120	:	1
	122	:	2
	124	:	1
	126	:	2
	643	:	2
	134	:	1
	136	:	1
	139	:	1
	142	:	1
	143	:	1
	144	:	2
	150	:	1
	153	:	1
	1062	:	1
	160	:	1
	163	:	1
	164	:	2
	166	:	1
	176	:	1
	183	:	1
	185	:	1
	186	:	1
	190	:	1
	198	:	2
	201	:	1
	719	:	1
	208	:	1
	209	:	1
	722	:	1
	216	:	1
	3620	:	1
	207	:	1
	223	:	1
	224	:	1
	229	:	1
	239	:	1
	241	:	1
	248	:	1
	252	:	5
	778	:	1
	267	:	2
	780	:	1
	291	:	2
	298	:	1
	303	:	1
	314	:	1
	321	:	1
	522	:	2
	323	:	1
	331	:	2
	340	:	1
	2400	:	1
	3431	:	1
	379	:	1
	391	:	1
	399	:	1
	411	:	2
	451	:	1
	469	:	2
	592	:	1
	509	:	2
